iter	Accuracy	Logloss
0	0.8466621588	0.520245451
1	0.8505962626	0.4324713481
2	0.8497664126	0.3884027905
3	0.8523789034	0.3576612818
4	0.8548991886	0.3411059955
5	0.8548377182	0.3317519191
6	0.8557290386	0.3225358658
7	0.8559134497	0.3180869565
8	0.8556675682	0.3150541727
9	0.8574194738	0.3120321206
10	0.8602471109	0.3090008696
11	0.8605851979	0.306258645
12	0.8609847553	0.3033691878
13	0.8608925498	0.3017429887
14	0.8615379887	0.3002203931
15	0.8617838702	0.2986331942
16	0.8636894517	0.2966138402
17	0.8651032702	0.2942433879
18	0.8659945906	0.2929940156
19	0.8662404721	0.2916293328
20	0.8662097369	0.2908129572
21	0.8665785591	0.2896082141
22	0.8673469388	0.2886444445
23	0.867715761	0.2878648149
24	0.8687300221	0.2870617643
25	0.8692832555	0.2857106964
26	0.8697750184	0.2851973049
27	0.8706663388	0.2844172281
28	0.8711273666	0.2835642532
29	0.8712810425	0.2830425733
30	0.8714961888	0.2821104547
31	0.8716498648	0.2817055095
32	0.872018687	0.2810013138
33	0.8724182444	0.2804151764
34	0.8725719203	0.2800069546
35	0.8726641259	0.2796240334
36	0.8730944185	0.2791758593
37	0.8734325055	0.2779684445
38	0.8734939759	0.2775054084
39	0.8734939759	0.2770705863
40	0.8747848537	0.2765741087
41	0.8748463241	0.2762682947
42	0.875	0.2758994274
43	0.8746926481	0.2755522691
44	0.8748155889	0.2750636912
45	0.8747848537	0.2747741963
46	0.8752151463	0.2742087655
47	0.8762294074	0.2730850951
48	0.8761986722	0.2728058966
49	0.8768441111	0.2716578066
50	0.8772744037	0.2711955379
51	0.8774588149	0.2705701203
52	0.8778276371	0.2701422041
53	0.8779505778	0.2696773007
54	0.8780427834	0.2692529123
55	0.8783808704	0.2689112082
56	0.8789955741	0.2676972208
57	0.8793643964	0.2664084782
58	0.8798254241	0.2661359305
59	0.8801020408	0.2657195237
60	0.8800098353	0.2652629859
61	0.8802864519	0.2647226859
62	0.8805015982	0.2643065846
63	0.8809933612	0.2639500394
64	0.8809933612	0.2635361156
65	0.8811777723	0.2632675806
66	0.8815158594	0.2627410851
67	0.881946152	0.2622759661
68	0.8818539464	0.2620311852
69	0.8821920334	0.2615068906
70	0.8823149742	0.2611202762
71	0.8823764446	0.2607689368
72	0.882622326	0.2603964823
73	0.8827145316	0.2601322685
74	0.8832370298	0.2598383722
75	0.8834521761	0.259514083
76	0.8832985001	0.2590929789
77	0.8835443816	0.2587634121
78	0.8836673224	0.2583460773
79	0.8838824687	0.2579489273
80	0.8839132038	0.2573416999
81	0.8841283501	0.2570126591
82	0.8844049668	0.2566947076
83	0.8853270224	0.2561355701
84	0.8854806983	0.255805363
85	0.8858802557	0.2553892368
86	0.8864334891	0.2550734394
87	0.8869559872	0.2546617202
88	0.8867408409	0.254312944
89	0.8868637817	0.2539203552
90	0.8868945168	0.2533701869
91	0.8872326039	0.253063579
92	0.887417015	0.2526286379
93	0.8875092206	0.252226602
94	0.8872940743	0.251940028
95	0.8877243669	0.2515551905
96	0.8879395132	0.2512813971
97	0.8879395132	0.2509385757
98	0.8884312761	0.25051724
99	0.8885849521	0.2502424107
100	0.8888615687	0.2500523502
101	0.8889537743	0.2496669631
102	0.8893533317	0.2494944258
103	0.8894762724	0.2493500426
104	0.8895992132	0.2491093372
105	0.8896299484	0.2487128239
106	0.8899987706	0.2483450358
107	0.8902753873	0.2481026801
108	0.8904597984	0.2477466307
109	0.8904597984	0.2475315264
110	0.8906134743	0.2473086443
111	0.8905827391	0.2469880776
112	0.8905827391	0.2466438983
113	0.8906749447	0.2464677212
114	0.890890091	0.2460674697
115	0.8911974428	0.2457406559
116	0.8918121465	0.2453737142
117	0.8915970002	0.2450671868
118	0.8919658225	0.2445670031
119	0.8921502336	0.244140214
120	0.8924575854	0.2438143594
121	0.8927956725	0.2435246414
122	0.8932259651	0.2430691686
123	0.8932567003	0.2428357446
124	0.8935025818	0.242470053
125	0.8936255225	0.2421732249
126	0.8937484632	0.2419226371
127	0.8943324318	0.2416660559
128	0.8942402262	0.2412100628
129	0.8945783133	0.2409183058
130	0.8946705188	0.2404821797
131	0.8950086059	0.2401541706
132	0.895039341	0.2399012482
133	0.8955925744	0.2395056277
134	0.8955003688	0.2392506016
135	0.8958999262	0.2389152732
136	0.8959613966	0.2387035508
137	0.895869191	0.2384048282
138	0.8960843373	0.2379894395
139	0.8961150725	0.2378869582
140	0.8962380133	0.2377405861
141	0.8965453651	0.2374832326
142	0.8965761003	0.2372492323
143	0.8968834522	0.2369251318
144	0.8968219818	0.2366457994
145	0.8969141874	0.2364487463
146	0.896852717	0.2362635872
147	0.8969756577	0.236101075
148	0.8970985985	0.2359008078
149	0.8970985985	0.2357306813
150	0.8975903614	0.2353840734
151	0.8975596263	0.2352435558
152	0.8976210966	0.2347970186
153	0.8978055077	0.2344737721
154	0.8979591837	0.2342556661
155	0.8979899189	0.23412996
156	0.8982665355	0.2337325249
157	0.8983894763	0.2334141535
158	0.8984202115	0.2331965257
159	0.8987275633	0.2329895024
160	0.8986968281	0.2328649173
161	0.8987890337	0.232517779
162	0.8990656504	0.2322221668
163	0.8989734448	0.2319922525
164	0.8992193263	0.2318062859
165	0.8993115318	0.2316138656
166	0.8996803541	0.2313774543
167	0.8996496189	0.2311673381
168	0.8999877059	0.2309029031
169	0.9000491763	0.2306993195
170	0.89983403	0.2304809929
171	0.8997725596	0.2303098053
172	0.8998955004	0.2300738325
173	0.900172117	0.229903856
174	0.900172117	0.2296173728
175	0.9004179985	0.2294206511
176	0.9006331448	0.2291822161
177	0.9010019671	0.2289441884
178	0.9013707893	0.2287551312
179	0.9014322597	0.22857906
180	0.9011863782	0.2284839017
181	0.9013707893	0.2283370669
182	0.90149373	0.2279821214
183	0.9019547578	0.2277364354
184	0.9018010819	0.227520987
185	0.9017396115	0.2272125564
186	0.9018625522	0.2270153434
187	0.9020162282	0.2267967342
188	0.9021391689	0.2264909502
189	0.9021391689	0.226233653
190	0.9022928448	0.2260476058
191	0.9026616671	0.2258413701
192	0.9027231374	0.2256598418
193	0.9028768134	0.2254678804
194	0.9029690189	0.2252300775
195	0.9034915171	0.224904965
196	0.9036759282	0.2247379135
197	0.9038296041	0.2244346998
198	0.9040140152	0.2240908737
199	0.9042291615	0.2238980359
200	0.9042291615	0.2237043533
201	0.9043213671	0.2235213139
202	0.9044135727	0.2233045193
203	0.9043828375	0.2231850128
204	0.9044443078	0.2229336098
205	0.9048746004	0.2226735304
206	0.9049975412	0.2224440695
207	0.9048438653	0.2222094856
208	0.9049053356	0.2220809198
209	0.9051204819	0.2219494563
210	0.9053970986	0.22181317
211	0.905458569	0.2215840764
212	0.905458569	0.2214356278
213	0.9054278338	0.221336479
214	0.9057659208	0.2211271414
215	0.9058888616	0.2209158934
216	0.9060425375	0.2207388085
217	0.9061962134	0.2204671662
218	0.9063498894	0.22033796
219	0.9064420949	0.2201867132
220	0.9067187116	0.2199966481
221	0.9067494468	0.2197729187
222	0.9066879764	0.2195781163
223	0.9070567986	0.2191660883
224	0.9071490042	0.2190884873
225	0.907118269	0.2188574416
226	0.9070875338	0.21851812
227	0.9071797394	0.2182696995
228	0.9072412097	0.2180618025
229	0.9072104746	0.2178607747
230	0.907610032	0.2176048796
231	0.9075792968	0.2174984703
232	0.9075178264	0.2173306924
233	0.9077022375	0.2170691324
234	0.9076715023	0.2168774184
235	0.907610032	0.2166882837
236	0.9077637079	0.2165622037
237	0.9078251783	0.2164154661
238	0.9079788542	0.2162859869
239	0.9079173838	0.2161640539
240	0.9081940005	0.2158831241
241	0.9083169412	0.2155304593
242	0.9083476764	0.2152704996
243	0.9084706172	0.2151260227
244	0.9085935579	0.2150399626
245	0.9086550283	0.2148935632
246	0.9089316449	0.2145856073
247	0.9089316449	0.2144675781
248	0.9089931153	0.2143366511
249	0.9093004672	0.2141272722
