iter	Passed	Remaining
0	62	15548
1	67	8316
2	71	5888
3	76	4686
4	80	3947
5	85	3481
6	90	3144
7	95	2894
8	100	2695
9	105	2541
10	110	2403
11	114	2280
12	119	2173
13	123	2086
14	128	2006
15	132	1936
16	136	1876
17	141	1823
18	145	1770
19	150	1731
20	154	1688
21	159	1650
22	163	1610
23	167	1578
24	171	1547
25	176	1521
26	181	1495
27	185	1471
28	190	1451
29	194	1428
30	199	1407
31	203	1388
32	209	1377
33	215	1370
34	221	1362
35	227	1350
36	232	1340
37	246	1377
38	252	1366
39	258	1355
40	263	1341
41	268	1327
42	273	1316
43	278	1301
44	283	1289
45	288	1278
46	294	1272
47	300	1264
48	306	1258
49	312	1250
50	318	1242
51	324	1235
52	329	1226
53	335	1219
54	342	1213
55	347	1204
56	353	1196
57	359	1189
58	364	1181
59	370	1173
60	375	1163
61	380	1154
62	385	1144
63	391	1138
64	396	1129
65	401	1119
66	406	1110
67	411	1102
68	416	1093
69	421	1084
70	426	1075
71	431	1066
72	436	1057
73	440	1048
74	445	1040
75	450	1031
76	455	1023
77	460	1015
78	465	1007
79	470	999
80	475	991
81	480	983
82	484	975
83	489	968
84	494	960
85	499	953
86	504	945
87	509	938
88	514	931
89	519	924
90	524	917
91	529	909
92	534	902
93	539	895
94	544	888
95	550	882
96	555	875
97	560	868
98	565	862
99	570	855
100	575	848
101	580	841
102	584	834
103	589	827
104	593	819
105	598	812
106	602	804
107	606	797
108	610	790
109	615	783
110	619	776
111	624	769
112	628	762
113	632	755
114	637	748
115	641	740
116	646	734
117	650	727
118	654	720
119	659	713
120	663	707
121	667	700
122	672	694
123	677	688
124	682	682
125	687	676
126	691	670
127	696	664
128	702	658
129	706	652
130	711	646
131	716	640
132	721	634
133	725	628
134	730	621
135	734	615
136	738	609
137	742	602
138	747	597
139	752	591
140	756	585
141	762	579
142	766	573
143	771	567
144	775	561
145	780	555
146	784	549
147	789	544
148	794	538
149	798	532
150	802	526
151	807	520
152	812	515
153	817	509
154	822	503
155	826	498
156	831	492
157	836	487
158	841	481
159	846	476
160	851	470
161	855	464
162	860	459
163	864	453
164	869	448
165	874	442
166	879	437
167	884	431
168	889	426
169	894	420
170	898	415
171	903	409
172	907	403
173	912	398
174	916	392
175	921	387
176	926	382
177	931	376
178	936	371
179	941	366
180	945	360
181	950	355
182	955	349
183	960	344
184	965	339
185	970	333
186	975	328
187	979	323
188	984	317
189	989	312
190	994	307
191	999	301
192	1005	296
193	1011	291
194	1017	286
195	1023	281
196	1028	276
197	1034	271
198	1041	266
199	1047	261
200	1053	256
201	1081	256
202	1126	260
203	1142	257
204	1150	252
205	1156	247
206	1164	241
207	1171	236
208	1179	231
209	1187	226
210	1194	220
211	1202	215
212	1212	210
213	1219	205
214	1226	199
215	1234	194
216	1242	188
217	1250	183
218	1256	177
219	1263	172
220	1270	166
221	1277	161
222	1284	155
223	1291	149
224	1296	144
225	1302	138
226	1308	132
227	1314	126
228	1320	121
229	1325	115
230	1331	109
231	1337	103
232	1342	97
233	1348	92
234	1354	86
235	1359	80
236	1365	74
237	1370	69
238	1375	63
239	1380	57
240	1385	51
241	1390	45
242	1395	40
243	1399	34
244	1403	28
245	1408	22
246	1412	17
247	1418	11
248	1422	5
249	1427	0
